Name,Street_Address,Location,Type,Reviews,No of Reviews,Comments,Contact_Number,Restaurant_url,Menu,Image_url
Jungsik,2 Harrison St,"New York City, NY 10013-2810"," Asian, Korean, Gluten Free Options",4.5,272,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. ",+1 212-219-0900,https://www.tripadvisor.com/Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a9/1a/6e/jungsik.jpg?w=900&h=500&s=1
Piccola Cucina Estiatorio,75 Thompson St,"New York City, NY 10012-4345"," Italian, Seafood, Mediterranean",4.5,166,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",+1 646-781-9183,https://www.tripadvisor.com/Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9f/fd/63/piccola-cucina-estiatorio.jpg?w=900&h=500&s=1
Naruto Ramen,1596 3rd Ave,"New York City, NY 10128-3417"," Japanese, Asian, Soups",4.5,190,"Good service, satisfying food. Space is cramped, but they serve good value for money. It’s amusing to watch the chefs preparing the meals too. ",+1 212-289-7803,https://www.tripadvisor.com/Restaurant_Review-g60763-d938985-Reviews-Naruto_Ramen-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b8/e6/9a/photo0jpg.jpg?w=900&h=500&s=1
Boucherie West Village,99 7th Ave S,"New York City, NY 10014-3415"," French, Steakhouse, Vegetarian Friendly",4.5,1085,Wonderful Sunday Brunch. The Food was delicious and great service. Great atmosphere with French flair.,+1 212-837-1616,https://www.tripadvisor.com/Restaurant_Review-g60763-d11918545-Reviews-Boucherie_West_Village-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/4b/bd/55/ground-floor.jpg?w=900&h=500&s=1
Dirt Candy,86 Allen St,"New York City, NY 10002-3014"," American, Vegetarian Friendly, Vegan Options",4.5,353,This was truly the worst meal we've ever eaten (4 of us dined this evening). We stopped for a slice of pizza on the way home so that we could have something edible.,+1 212-228-7732,https://www.tripadvisor.com/Restaurant_Review-g60763-d1236468-Reviews-Dirt_Candy-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/30/eb/06/brassica-an-ode-to-cauliflower.jpg?w=700&h=400&s=1
Buenos Aires,513 E 6th St,"New York City, NY 10009-6621"," Steakhouse, Latin, Argentinean",4.5,424,"In a city with thousands of places to eat, few are worth the trouble and cost of eating out. Even in NYC, having a great dining experience is not obvious.  Buenos Aires delivers on all expectations- every time.  I've been eating here since it opened.",+1 212-228-2775,https://www.tripadvisor.com/Restaurant_Review-g60763-d901589-Reviews-Buenos_Aires-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/28/f2/f3/the-best-argentinean.jpg?w=900&h=500&s=1
Decoy Bar,529 1/2 Hudson St,"New York City, NY 10014-2601"," Chinese, Asian",4.5,188,"Des what a legend!!!!

What this lady doesn’t know about cocktails is not work knowing. We sat at the bar she made us feel very comfortable throughout our dinner/drinks and made sure we was OK. ",+1 212-691-9700,https://www.tripadvisor.com/Restaurant_Review-g60763-d6654379-Reviews-Decoy_Bar-New_York_City_New_York.html,http://www.decoynyc.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/32/11/b8/ginger-panna-cotta-with.jpg?w=900&h=500&s=1
John's Coffee Shop,823 2nd Ave,"New York City, NY 10017-4501"," American, Cafe, Diner",4.5,210,"Great place, nice people.  I had an egg white, American cheese and potato egg sandwich which was delicious but I thought it was a bit pricey $9.  My boyfriend had an omelet and potatoes which was awesome.  Will visit again when in the city. ",+1 212-867-4955,https://www.tripadvisor.com/Restaurant_Review-g60763-d5059946-Reviews-John_s_Coffee_Shop-New_York_City_New_York.html,https://www.seamless.com/menu/johns-coffee-shop-823-2nd-ave-new-york/292498?utm_medium=grubhub-owned-menu-properties&utm_source=allmenus.com&utm_content=292498&utm_campaign=menu-page&affiliate=1079,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ce/85/d7/pancakes-delicieux.jpg?w=900&h=500&s=1
Boucherie West Village,99 7th Ave S,"New York City, NY 10014-3415"," French, Steakhouse, Vegetarian Friendly",4.5,1085,Wonderful Sunday Brunch. The Food was delicious and great service. Great atmosphere with French flair.,+1 212-837-1616,https://www.tripadvisor.com/Restaurant_Review-g60763-d11918545-Reviews-Boucherie_West_Village-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/4b/bd/55/ground-floor.jpg?w=900&h=500&s=1
Bleecker Street Pizza,69 7th Ave S,"New York City, NY 10014-4043"," Italian, Pizza, Fast Food",4.5,1439,"The pizza slice was good, and the toppings were great (sausage and pepperoni), and the base was quite crispy and a hit like eating toast (but really thin toast). Bleecker Street Pizza came highly recommended and I can see why. ",+1 212-924-4466,https://www.tripadvisor.com/Restaurant_Review-g60763-d479337-Reviews-Bleecker_Street_Pizza-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/48/cb/9d/img-20191208-144633-largejpg.jpg?w=900&h=500&s=1
Pure Thai Cookhouse,766 9th Ave,"New York City, NY 10019-6323"," Asian, Thai, Vegetarian Friendly",4.5,1458,"Nice to see a restaurant that earns its reviews! Great meal, service and fun atmosphere.  Tiny restaurant- but they expanded so there is another space next to the main space, which was great.",+1 212-581-0999,https://www.tripadvisor.com/Restaurant_Review-g60763-d2099173-Reviews-Pure_Thai_Cookhouse-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a1/7a/30/pure-thai-cookhouse.jpg?w=900&h=500&s=1
Petite Boucherie,14 Christopher St,"New York City, NY 10014-3523"," French, Vegetarian Friendly, Vegan Options",4.5,503,"Beautiful authentic French bistrot. I had a wonderful experience, the service and food were excellent. I will definitely come back. Thank you !",+1 646-756-4145,https://www.tripadvisor.com/Restaurant_Review-g60763-d10145683-Reviews-Petite_Boucherie-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/9b/58/01/petite-boucherie.jpg?w=900&h=500&s=1
Rafele,29 7th Ave S,"New York City, NY 10014-3938"," Italian, Neapolitan, Campania",4.5,1237,"Just perfect on a snowy night in the West Village.  Warm, cozy, lively but still able to have private conversation.  And the food!  Fabulous marinated eggplant on homemade focaccia is complimentary to start.  We shared the fried artichokes, perfectly cooked and delicious.  ",+1 212-242-1999,https://www.tripadvisor.com/Restaurant_Review-g60763-d3314559-Reviews-Rafele-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a0/78/3d/dinner-for-two.jpg?w=900&h=-1&s=1
Blue Smoke Battery Park City,255 Vesey St,"New York City, NY 10282-5800"," American, Bar, Barbecue",4.5,564,"We had an exceptional experience dinning at Blue Smoke while on vacation from the UK. We ordered the Rhapsody In 'Cue - so you get a bit of al the meats and we weren't disappointed, everything was outstanding! ",+1 212-889-2005,https://www.tripadvisor.com/Restaurant_Review-g60763-d3652763-Reviews-Blue_Smoke_Battery_Park_City-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/10/70/53/the-whole-pit.jpg?w=700&h=-1&s=1
Loi Estiatorio,132 W 58th St,"New York City, NY 10019-2135"," Mediterranean, Greek, Seafood",4.5,535,"It looked promising, the chef came up to our table, but sadly enough the food wasn't any good. It was bland (we had the lasagna and the mussels) and the lasagna was very dry. There was no sauce in the lasagna at all.",+1 212-713-0015,https://www.tripadvisor.com/Restaurant_Review-g60763-d7814915-Reviews-Loi_Estiatorio-New_York_City_New_York.html,http://www.loiestiatorio.com/dinner/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e5/8a/20/photo0jpg.jpg?w=1200&h=-1&s=1
Piccola Cucina Osteria,196 Spring St,"New York City, NY 10012-3621"," Italian, Mediterranean, Neapolitan",4.5,2617,"Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. ",+1 646-478-7488,https://www.tripadvisor.com/Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/1c/e4/piccola-cucina-osteria.jpg?w=1100&h=-1&s=1
Bleecker Street Pizza,69 7th Ave S,"New York City, NY 10014-4043"," Italian, Pizza, Fast Food",4.5,1439,"The pizza slice was good, and the toppings were great (sausage and pepperoni), and the base was quite crispy and a hit like eating toast (but really thin toast). Bleecker Street Pizza came highly recommended and I can see why.",+1 212-924-4466,https://www.tripadvisor.com/Restaurant_Review-g60763-d479337-Reviews-Bleecker_Street_Pizza-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/48/cb/9d/img-20191208-144633-largejpg.jpg?w=900&h=500&s=1
Faicco's Pork Store,260 Bleecker St,"New York City, NY 10014-4128", Italian,4.5,351,We visited Faicco's in New York to get a submarine sandwich (hero) for lunch.  The place was very busy and it is take away only.  ,+1 212-243-1974,https://www.tripadvisor.com/Restaurant_Review-g60763-d492626-Reviews-Faicco_s_Pork_Store-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f1/ec/5d/photo1jpg.jpg?w=900&h=500&s=1
B Side Pizzeria,370 W 51st St,"New York City, NY 10019-6403"," Italian, Pizza, Vegetarian Friendly",4.5,490,"We loved our visit. The Killer Bee Pizza is great and so is Marge. We also enjoyed the eggplant Parmesan. If anything could be better it would be the seating arrangement. In any case, we will certainly be back.",+1 646-679-7225,https://www.tripadvisor.com/Restaurant_Review-g60763-d7078660-Reviews-B_Side_Pizzeria-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/fa/13/e4/pizza.jpg?w=900&h=500&s=1
Nerai,55 E 54th St,"New York City, NY 10022-4206"," Seafood, Mediterranean, Greek",4.5,647,"If you're looking to get off of ""restaurant row"" and need an option for a pre show meal, I would recommend Nerai.  The space is very nice and roomy for a NY restaurant.  We had more then a foot in between tables.",+1 212-759-5554,https://www.tripadvisor.com/Restaurant_Review-g60763-d4101797-Reviews-Nerai-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/6c/17/12/sommelier-s-table.jpg?w=900&h=500&s=1
Amy Ruth's Home Style Southern Cuisine,113 W 116th St,"New York City, NY 10026-2521"," American, Vegetarian Friendly",4,895,Hands down the best fried chicken I have ever had! Come hungry - the portions are huge. Can’t wait to go back and have the chicken and waffles. My husband said it was great!,+1 212-280-8779,https://www.tripadvisor.com/Restaurant_Review-g60763-d457871-Reviews-Amy_Ruth_s_Home_Style_Southern_Cuisine-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/74/95/8a/waffle.jpg?w=600&h=-1&s=1
Bleecker Street Pizza,69 7th Ave S,"New York City, NY 10014-4043"," Italian, Pizza, Fast Food",4.5,1439,"The pizza slice was good, and the toppings were great (sausage and pepperoni), and the base was quite crispy and a hit like eating toast (but really thin toast). Bleecker Street Pizza came highly recommended and I can see why. ",+1 212-924-4466,https://www.tripadvisor.com/Restaurant_Review-g60763-d479337-Reviews-Bleecker_Street_Pizza-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/48/cb/9d/img-20191208-144633-largejpg.jpg?w=900&h=-1&s=1
Manhatta,28 Liberty St,"New York City, NY 10005-1400"," American, Vegetarian Friendly, Gluten Free Options",4.5,308,"Wow, what a place.  Food was fantastic.  Views are ridiculous.
But what set my visit apart was a specific manager working that night.
The beginning of my experience at the Chef's Table was less than stellar, but then Paris got involved. ",+1 212-230-5788,https://www.tripadvisor.com/Restaurant_Review-g60763-d14416742-Reviews-Manhatta-New_York_City_New_York.html,https://www.manhattarestaurant.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/4f/51/7f/east-facing-view.jpg?w=900&h=500&s=1
K Rico Steakhouse,772 9th Ave,"New York City, NY 10019-6327"," American, Steakhouse, Latin",4.5,3083,Really enjoyed our meal here. Steak was delicious. Biggest baked potato I’ve ever seen. Lots of different dips and owner was really nice. Introduced himself and had a chat,+1 212-757-9393,https://www.tripadvisor.com/Restaurant_Review-g60763-d7617787-Reviews-K_Rico_Steakhouse-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/62/67/ef/tasty-tomahawk-k-rico.jpg?w=900&h=500&s=1
SottoCasa Pizzeria,227 Lenox Ave,"New York City, NY 10027-6542"," Pizza, Neapolitan, Campania",4.5,406,"This is my second time here. I didn’t think it could get better but it did:) first time I ate pizza with blue cheese, which usually takes over all other tastes. In this case however, it was PERFECTION. ",+1 646-928-4870,https://www.tripadvisor.com/Restaurant_Review-g60763-d10165896-Reviews-SottoCasa_Pizzeria-New_York_City_New_York.html,https://sottocasanyc.com/harlem/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/31/60/5f/photo0jpg.jpg?w=900&h=500&s=1
Adrienne's Pizzabar,54 Stone St,"New York City, NY 10004-2617"," Italian, Pizza, Vegetarian Friendly",4.5,854,Came across this pizza bar walking back to our hotel after visiting the Statue of Liberty. I am so glad we came here; the pizza was out of this world. ,+1 212-248-3838,https://www.tripadvisor.com/Restaurant_Review-g60763-d2397895-Reviews-Adrienne_s_Pizzabar-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d3/8d/d9/photo0jpg.jpg?w=900&h=500&s=1
Spice Symphony,150 E 50th St,"New York City, NY 10022-9500"," Indian, Vegetarian Friendly, Vegan Options",4.5,2580,"Great food and service! We had a mix of Indian and Chinese dishes, and everything came out perfect. Our waiter - Nisar - was wonderful.",+1 212-300-4869,https://www.tripadvisor.com/Restaurant_Review-g60763-d3603515-Reviews-Spice_Symphony-New_York_City_New_York.html,http://www.spicesymphony.com/50th-street/spice-symphony-dinner-menu.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/4b/4a/80/spice-symphony.jpg?w=700&h=-1&s=1
Tomino - Taberna Gallega,192 Grand St,"New York City, NY 10013-3712"," Spanish, Wine Bar, Mediterranean",4.5,197,Excellent meals and service. Continental cooking in the heart of Manhattan. Great variety of authentic Spanish dishes.,+1 212-933-4763,https://www.tripadvisor.com/Restaurant_Review-g60763-d12990804-Reviews-Tomino_Taberna_Gallega-New_York_City_New_York.html,http://www.tominonyc.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8a/db/7c/arroz-caldoso-con-bogavante.jpg?w=900&h=500&s=1
Eileen's Special Cheesecake,17 Cleveland Pl,"New York City, NY 10012-4052"," American, Vegetarian Friendly",4.5,2057,"We really enjoyed our visit here, a great selection and the cheesecakes were delicious. Definitely worth the visit!",+1 212-966-5585,https://www.tripadvisor.com/Restaurant_Review-g60763-d808386-Reviews-Eileen_s_Special_Cheesecake-New_York_City_New_York.html,http://www.eileenscheesecake.com/wp-content/uploads/2018/10/retail-2018-19.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/96/b4/b1/eileen-s-special-cheesecake.jpg?w=900&h=500&s=1
Petite Boucherie,14 Christopher St,"New York City, NY 10014-3523"," French, Vegetarian Friendly, Vegan Options",4.5,503,"Beautiful authentic French bistrot. I had a wonderful experience, the service and food were excellent. I will definitely come back. Thank you !",+1 646-756-4145,https://www.tripadvisor.com/Restaurant_Review-g60763-d10145683-Reviews-Petite_Boucherie-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/9b/58/01/petite-boucherie.jpg?w=900&h=500&s=1
The Grange Bar & Eatery,1635 Amsterdam Ave,"New York City, NY 10031-6103"," American, Bar, Vegetarian Friendly",4.5,190,"I went at the grange bar with friends in a cold night of January for a snack. we had tartare, french onion soup and roasted cauliflower. for dessert we had a superlative bread pudding.",+1 212-491-1635,https://www.tripadvisor.com/Restaurant_Review-g60763-d4570119-Reviews-The_Grange_Bar_Eatery-New_York_City_New_York.html,https://thegrangebarnyc.com/new-york-hamilton-heights-the-grange-bar-and-eatery-food-menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/90/8c/68/bar.jpg?w=900&h=500&s=1
San Carlo Osteria Piemonte,90 Thompson St,"New York City, NY 10012-3744"," Italian, Mediterranean, Vegetarian Friendly",4.5,695,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,https://www.tripadvisor.com/Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html,http://www.sancarlonyc.com/menu/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/fa/8e/10/halibut.jpg?w=1200&h=-1&s=1
Jungsik,2 Harrison St,"New York City, NY 10013-2810"," Asian, Korean, Gluten Free Options",4.5,272,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. ",+1 212-219-0900,https://www.tripadvisor.com/Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a9/1a/6e/jungsik.jpg?w=900&h=500&s=1
Jacob Restaurant,373 Lennox Avenue,"New York City, NY 10027"," American, Vegetarian Friendly, Vegan Options",4.5,112,"The cashiers and other workers are very pleasant. The food is tasty also. If you like 70's music, the live band will have you singing and patting your feet, while you pile your plate with tasty food.",+1 212-866-3663,https://www.tripadvisor.com/Restaurant_Review-g60763-d3410027-Reviews-Jacob_Restaurant-New_York_City_New_York.html,http://www.jacobrestaurant.com/pdf/jacob-restaurant-menu.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/52/aa/04/jacob-restaurant.jpg?w=1200&h=-1&s=1
Ceci Italian Restaurant & Bar,46 W 46th St,"New York City, NY 10036-4508"," Healthy, Italian, Vegetarian Friendly",4,643,We had no reservations and almost no wait time for a party of 7. Food was excellent and they even sang to my son for his birthday. Lobster ravioli was superb.,+1 212-307-5484,https://www.tripadvisor.com/Restaurant_Review-g60763-d2180050-Reviews-Ceci_Italian_Restaurant_Bar-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/fb/ac/03/tuna-peppata.jpg?w=900&h=500&s=1
Loi Estiatorio,132 W 58th St,"New York City, NY 10019-2135"," Mediterranean, Greek, Seafood",4.5,535,"It looked promising, the chef came up to our table, but sadly enough the food wasn't any good. It was bland (we had the lasagna and the mussels) and the lasagna was very dry. There was no sauce in the lasagna at all.",+1 212-713-0015,https://www.tripadvisor.com/Restaurant_Review-g60763-d7814915-Reviews-Loi_Estiatorio-New_York_City_New_York.html,http://www.loiestiatorio.com/dinner/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e5/8a/20/photo0jpg.jpg?w=1200&h=-1&s=1
Angelina Bakery NYC,575 8th Ave,"New York City, NY 10018-3011"," Bakeries, Cafe",4.5,85,"I have to confess we ate theee different things in one evening, because, well everything is irresistible. The pistachio bombolone was heavenly. Stuffed to the gills with creamy, pistachio goodness. And the mini croissants were also filled with luscious cream. And the Nutella latte. Yum.",+1 212-687-7100,https://www.tripadvisor.com/Restaurant_Review-g60763-d16778607-Reviews-Angelina_Bakery_NYC-New_York_City_New_York.html,https://www.seamless.com/menu/angelina-bakery-575-8th-ave-new-york/1239955,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/e3/c9/3e/catering.jpg?w=900&h=500&s=1
Beyond Sushi,62 W 56th St,"New York City, NY 10019-3824"," Sushi, Asian, Healthy",4.5,206,"Beyond Sushi is a vegan food place with creative approaches! A friend of mine and I went there for a light dinner and we loved it! From service to food, everything was on spot! Definitely recommendable.",+1 646-964-5097,https://www.tripadvisor.com/Restaurant_Review-g60763-d7910543-Reviews-Beyond_Sushi-New_York_City_New_York.html,https://drive.google.com/open?id=1Gxv3d-pYr7Jv1Dmmhk5qUTashpMTb9VK,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/93/ee/44/rainbow-roll.jpg?w=900&h=500&s=1
Nick's,1814 2nd Ave,"New York City, NY 10128-5601"," Italian, Pizza, Vegetarian Friendly",4.5,269,Maybe i was there during an off time as it was early in the dinner hour.  The place relatively empty.  We ordered a family style which was delicious. ,+1 212-987-5700,https://www.tripadvisor.com/Restaurant_Review-g60763-d476854-Reviews-Nick_s-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/54/f5/05/photo0jpg.jpg?w=1200&h=-1&s=1
Faicco's Pork Store,260 Bleecker St,"New York City, NY 10014-4128", Italian,4.5,351,We visited Faicco's in New York to get a submarine sandwich (hero) for lunch.  The place was very busy and it is take away only. ,+1 212-243-1974,https://www.tripadvisor.com/Restaurant_Review-g60763-d492626-Reviews-Faicco_s_Pork_Store-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f1/ec/5d/photo1jpg.jpg?w=900&h=500&s=1
Sea Fire Grill,158 E 48th St,"New York City, NY 10017-1224"," American, Seafood, Vegetarian Friendly",4.5,1088,My husband brought me here for my birthday.  What an amazing place. The ambiance and decor was outstanding. Our server Benson provided us with exemplary service. He was attentive and made us feel very special. ,+1 212-935-3785,https://www.tripadvisor.com/Restaurant_Review-g60763-d3731386-Reviews-Sea_Fire_Grill-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/df/35/82/red-snapper.jpg?w=900&h=500&s=1
